Rank,University,Country
1,University of Chinese Academy of Sciences,CHN
2,Tsinghua University,CHN
3,Zhejiang University,CHN
4,Shanghai Jiao Tong University,CHN
5,Peking University,CHN
6,Huazhong University of Science and Technology,CHN
7,Sichuan University,CHN
8,Sun Yat-Sen University,CHN
9,Central South University,CHN
10,Fudan University,CHN
11,Harbin Institute of Technology,CHN
12,Xi'an Jiaotong University,CHN
13,Tianjin University,CHN
14,Wuhan University,CHN
15,South China University of Technology,CHN
16,Jilin University,CHN
17,"Southeast University, Nanjing",CHN
18,Tongji University,CHN
19,Shandong University,CHN
20,University of Electronic Science and Technology of China,CHN
21,University of Science and Technology of China,CHN
22,BeiHang University,CHN
23,Nanjing University,CHN
24,Beijing Institute of Technology,CHN
25,Zhengzhou University,CHN
26,Northwestern Polytechnical University,CHN
27,Dalian University of Technology,CHN
28,"Soochow University, Suzhou",CHN
29,Chongqing University,CHN
30,Chinese Academy of Medical Sciences and Peking Union Medical College,CHN
31,Nankai University,CHN
32,Shenzhen University,CHN
33,Beijing University of Posts and Telecommunications,CHN
34,Xidian University,CHN
35,Peking University Health Science Center,CHN
36,Xiamen University,CHN
37,Jiangnan University,CHN
38,Hunan University,CHN
39,Jiangsu University,CHN
40,China Agricultural University,CHN
41,Zhejiang University of Technology,CHN
42,Jinan University,CHN
43,Nanjing University of Aeronautics and Astronautics,CHN
44,Capital University of Medical Sciences,CHN
45,Wuhan University of Technology,CHN
46,China University of Geosciences,CHN
47,National University of Defense Technology,CHN
48,Beijing Normal University,CHN
49,University of Science and Technology Beijing,CHN
50,China University of Mining and Technology,CHN
51,Southern Medical University,CHN
52,Nanjing University of Science and Technology,CHN
53,Huazhong Agricultural University,CHN
54,Southwest Jiaotong University,CHN
55,China Pharmaceutical University,CHN
56,Nanjing Medical University,CHN
57,Guangdong University of Technology,CHN
58,Fuzhou University,CHN
59,Beijing University of Chemical Technology,CHN
60,North China Electric Power University,CHN
61,Nanchang University,CHN
62,South China Agricultural University,CHN
63,Nanjing Tech University,CHN
64,Shanghai University,CHN
65,Beijing Jiaotong University,CHN
66,Northwest A and F University,CHN
67,Hefei University of Technology,CHN
68,"Northeastern University, China",CHN
69,East China Normal University,CHN
70,Hohai University,CHN
71,Nanjing Forestry University,CHN
72,Harbin Engineering University,CHN
73,East China University of Science and Technology,CHN
74,Nanjing Agricultural University,CHN
75,Qingdao University,CHN
76,Southwest University,CHN
77,Nanjing University of Posts and Telecommunications,CHN
78,Yangzhou University,CHN
79,ShanghaiTech University,CHN
80,Southern University of Science and Technology,CHN
81,Shenyang Pharmaceutical University,CHN
82,Lanzhou University,CHN
83,Beijing University of Technology,CHN
84,Wenzhou Medical University,CHN
85,Ocean University of China,CHN
86,China University of Petroleum,CHN
87,Shanghai Medical College of Fudan University,CHN
88,Southwest Petroleum University,CHN
89,Hangzhou Dianzi University,CHN
90,Shandong University of Science and Technology,CHN
91,Qingdao University of Science and Technology,CHN
92,Chongqing Medical University,CHN
93,Nanjing University of Information Science and Technology,CHN
94,Chongqing University of Post and Telecommunications,CHN
95,Donghua University,CHN
96,Kunming University of Science and Technology,CHN
97,"China Medical University, Shenyang",CHN
98,Nantong University,CHN
99,Guangzhou University,CHN
100,Tianjin University of Science and Technology,CHN
101,Second Military Medical University,CHN
102,Northeast Agricultural University,CHN
103,Harbin Medical University,CHN
104,Henan University,CHN
105,Beijing Technology and Business University,CHN
106,Guangxi University,CHN
107,Tianjin Medical University,CHN
108,Army Medical University,CHN
109,University of Jinan,CHN
110,South China Normal University,CHN
111,Chang'an University,CHN
112,Anhui University,CHN
113,Sichuan Agricultural University,CHN
114,"China University of Petroleum, Beijing",CHN
115,Taiyuan University of Technology,CHN
116,Ningbo University,CHN
117,Anhui Agricultural University,CHN
118,Qilu University of Technology,CHN
119,Fujian Agriculture and Forestry University,CHN
120,Changsha University of Science and Technology,CHN
121,Hubei University,CHN
122,"Northwest University, Xi'an",CHN
123,Shandong Agricultural University,CHN
124,Air Force Medical University,CHN
125,Hainan University,CHN
126,Nanjing Normal University,CHN
127,Zhejiang Sci-Tech University,CHN
128,Northeast Forestry University,CHN
129,Wenzhou University,CHN
130,Guangzhou University of Traditional Chinese Medicine,CHN
131,Shandong Normal University,CHN
132,Shaanxi University of Science and Technology,CHN
133,Xi'an University of Technology,CHN
134,Anhui Medical University,CHN
135,University of Shanghai for Science and Technology,CHN
136,Beijing Forestry University,CHN
137,Shanghai University of Traditional Chinese Medicine,CHN
138,Huzhou University,CHN
139,Hangzhou Normal University,CHN
140,Huaqiao University,CHN
141,Yanshan University,CHN
142,Dalian Medical University,CHN
143,Guizhou University,CHN
144,Hebei University of Technology,CHN
145,South Central University for Nationalities,CHN
146,Guangzhou Medical University,CHN
147,"Shaanxi Normal University, Xi'an",CHN
148,Xinxiang Medical University,CHN
149,Shanxi University,CHN
150,Guilin University of Electronic Technology,CHN
151,North University of China,CHN
152,Dalian Maritime University,CHN
153,Westlake University,CHN
154,Changzhou University,CHN
155,Henan Agricultural University,CHN
156,Qingdao Agricultural University,CHN
157,Wuhan University of Science and Technology,CHN
158,Nanjing University of Chinese Medicine,CHN
159,Fujian Medical University,CHN
160,Hunan Agricultural University,CHN
161,Northeast Normal University,CHN
162,Fujian Normal University,CHN
163,Guangxi Normal University,CHN
164,Foshan University,CHN
165,Renmin University of China,CHN
