Rank,University,Country
1,Sorbonne Universite,FRA
2,Universite de Paris Cite,FRA
3,Universite Paris-Saclay,FRA
4,Universite PSL,FRA
5,Aix-Marseille Universite,FRA
6,Universite Montpellier,FRA
7,Universite Grenoble-Alpes,FRA
8,Institut Eurecom,FRA
9,Universite Claude Bernard Lyon 1,FRA
10,Universite de Strasbourg,FRA
11,Universite de Bordeaux,FRA
12,"Universite Paul Sabatier, Toulouse III",FRA
13,Universite de Rennes 1,FRA
14,Universite de Lille,FRA
15,Universite de Lorraine,FRA
16,Universite de Nantes,FRA
17,Universite Cote d’Azur,FRA
18,Centrale Supelec,FRA
19,Ecole Superieure de Physique et de Chimie Industrielles de la Ville de Paris,FRA
20,Ecole Nationale Superieure de Chimie de Paris,FRA
21,Universite de Toulouse,FRA
22,Telecom ParisTech,FRA
23,Universite Paris-Est Creteil,FRA
24,Universite de Lyon,FRA
25,Ecole Normale Superieure de Paris,FRA
26,Institut Polytechnique de Grenoble,FRA
27,Universite Clermont-Auvergne,FRA
28,Ecole Nationale Superieure de Chimie de Montpellier,FRA
29,Ecole Nationale Superieure des Mines de Paris,FRA
30,Universite de Bourgogne,FRA
31,Institut National des Sciences Appliquees de Rennes,FRA
32,Ecole Pratique des Hautes Etudes,FRA
33,"AgroParisTech, Institut des Sciences et Industries du Vivant et de l'Environnement",FRA
34,Universite de Versailles Saint Quentin en Yvelines,FRA
35,Ecole Polytechnique,FRA
36,Universite Francois Rabelais de Tours,FRA
37,Telecom SudParis,FRA
38,Ecole Nationale Superieure de Chimie de Rennes,FRA
39,Universite de Haute-Alsace Mulhouse-Colmar,FRA
40,College de France,FRA
41,Institut National Polytechnique de Toulouse,FRA
42,Institut National des Sciences Appliquees de Lyon,FRA
43,Universite de Technologie de Belfort-Montbeliard,FRA
44,Universite de Franche-Comte,FRA
45,Universite de Toulouse-Jean Jaures,FRA
46,Universite Paris-Nord 13,FRA
47,Universite Jean Monnet,FRA
48,IMT Atlantique,FRA
49,Conservatoire National des Arts et Metiers,FRA
50,Universite de Bretagne Occidentale,FRA
51,Institut Polytechnique de Bordeaux,FRA
52,Universite de Rouen Normandie,FRA
53,Ecole Nationale du Genie de l'Eau et de l'Environnement de Strasbourg,FRA
54,Universite d'Angers,FRA
55,Institut National des Sciences Appliquees de Toulouse,FRA
56,Universite de Caen Basse-Normandie,FRA
57,Universite d'Orleans,FRA
58,Ecole Nationale des Ponts ParisTech,FRA
59,Universite de Technologie de Compiegne,FRA
60,Ecole Nationale Superieure de Chimie de Lille,FRA
61,Universite de Poitiers,FRA
62,Universite de Limoges,FRA
63,Universite Gustave Eiffel,FRA
64,Ecole Nationale Superieure d'Arts et Metiers,FRA
65,Ecole Superieure de Chimie Physique Electronique de Lyon,FRA
66,Ecole Normale Superieure de Lyon,FRA
67,"Universite Capitole, Toulouse I",FRA
68,Universite d'Avignon,FRA
69,Ecole Nationale Superieur de Mecaniques et des MicroTechniques,FRA
70,Institut d'Optique Graduate School,FRA
71,"Junia, Grande Ecole d'Ingenieurs",FRA
72,Agrocampus Ouest,FRA
73,Universite Paris Dauphine,FRA
74,Ecole Nationale Veterinaire Agroalimentaire et de l'Alimentation de Nantes-Atlantique,FRA
75,Universite Savoie Mont Blanc,FRA
76,"Universite de Picardie Jules Verne, Amiens",FRA
77,Universite de Cergy-Pontoise,FRA
78,Universite de La Rochelle,FRA
79,"Universite Paul Valery, Montpellier III",FRA
80,Universite de Bretagne-Sud,FRA
81,Universite de Reims Champagne-Ardenne,FRA
82,"Montpellier SupAgro, Centre International d'Etudes Superieures en Sciences Agronomiques",FRA
83,Institut National des Sciences Appliquees de Strasbourg,FRA
84,Ecole Centrale Marseille,FRA
85,Ecole Centrale de Nantes,FRA
86,Ecole Nationale Superieure de l'Electronique et de ses Applications,FRA
87,VetAgro Sup,FRA
88,Universite d'Evry-Val d'Essonne,FRA
89,Universite Polytechnique des Hauts-de-France,FRA
90,Ecole Centrale de Lille,FRA
91,Ecole d'Ingenieurs SIGMA Clermont,FRA
92,"AgroSup Dijon, Institut National Superieur des Sciences Agronomiques, de l'Alimentation et de l'Environnement",FRA
93,Universite du Maine,FRA
94,Ecole Normale Superieure Paris-Saclay,FRA
95,Montpellier Business School,FRA
96,Institut d'Etudes Politiques de Paris-Sciences Po,FRA
97,Ecole Nationale Superieure de Techniques Avancees,FRA
98,Universite de Pau et des Pays de l'Adour,FRA
99,Institut National des Sciences Appliquees de Rouen,FRA
100,EDHEC Business School,FRA
101,Universite de Perpignan Via Domitia,FRA
102,Universite d'Artois,FRA
103,Universite Rennes 2,FRA
104,Ecole Nationale Veterinaire de Toulouse,FRA
105,Universite de Technologie de Troyes,FRA
106,Ecole Nationale d'Ingenieurs de Metz,FRA
107,Ecole des Hautes Etudes en Sciences Sociales,FRA
108,Ecole Nationale de la Statistique et de l Administration Economique,FRA
109,Universite de Toulon,FRA
110,Ecole des Hautes Etudes Commerciales de Paris,FRA
111,Bordeaux Sciences Agro,FRA
112,Rennes School of Business,FRA
113,Ecole de Management de Lyon,FRA
