Rank,University,Country
1,Technische Universitat Munchen,DEU
2,Ludwig-Maximilians Universitat Munchen,DEU
3,Universitat Hamburg,DEU
4,Universitat Heidelberg,DEU
5,Friedrich-Alexander-Universitat Erlangen-Nurnberg,DEU
6,Technische Universitat Dresden,DEU
7,Rheinisch-Westfalische Technische Hochschule Aachen,DEU
8,Rheinische Friedrich-Wilhelms-Universitat Bonn,DEU
9,Karlsruher Institut fur Technologie,DEU
10,Albert-Ludwigs-Universitat Freiburg im Breisgau,DEU
11,Eberhard-Karls-Universitat Tubingen,DEU
12,Westfalische Wilhelms-Universitat Munster,DEU
13,Freie Universitat Berlin,DEU
14,Johannes Gutenberg-Universitat Mainz,DEU
15,Universitat Leipzig,DEU
16,Universitat Duisburg Essen,DEU
17,Johann Wolfgang Goethe-Universitat Frankfurt am Main,DEU
18,Technische Universitat Berlin,DEU
19,Julius-Maximilians-Universitat Wurzburg,DEU
20,Humboldt-Universitat zu Berlin,DEU
21,Medizinische Hochschule Hannover,DEU
22,Universitat Ulm,DEU
23,Heinrich Heine Universitat Dusseldorf ,DEU
24,Friedrich-Schiller-Universitat Jena,DEU
25,Hochschule fur Wirtschaft und Recht Berlin,DEU
26,Ruhr-Universitat Bochum,DEU
27,Universitat zu Koln,DEU
28,Christian-Albrechts-Universitat zu Kiel,DEU
29,Justus-Liebig-Universitat Giessen,DEU
30,Georg-August-Universitat Gottingen,DEU
31,Universitat des Saarlandes,DEU
32,Universitat Regensburg,DEU
33,Technische Universitat Darmstadt,DEU
34,Universitat Stuttgart,DEU
35,Martin-Luther-Universitat Halle-Wittenberg,DEU
36,Technische Universitat Braunschweig,DEU
37,Universitat Potsdam,DEU
38,Philipps-Universitat Marburg,DEU
39,Gottfried Wilhelm Leibniz Universitat Hannover,DEU
40,Universitat Bremen,DEU
41,Technische Universitat Dortmund,DEU
42,Ernst-Moritz-Arndt-Universitat Greifswald,DEU
43,Universitat Bielefeld,DEU
44,Otto-von-Guericke-Universitat Magdeburg,DEU
45,Universitat Rostock,DEU
46,Universitat zu Lubeck,DEU
47,Universitat Konstanz,DEU
48,Hasso Plattner Institute,DEU
49,Technische Universitat Kaiserslautern,DEU
50,Universitat Hohenheim,DEU
51,Universitat Bayreuth,DEU
52,Carl von Ossietzky Universitat Oldenburg,DEU
53,Universitat Augsburg,DEU
54,Technische Universitat Hamburg-Harburg,DEU
55,Universitat Paderborn,DEU
56,Universitat Passau,DEU
57,Universitat Kassel,DEU
58,Universitat Mannheim,DEU
59,Jacobs University Bremen,DEU
60,Stiftung Tierarztliche Hochschule Hannover,DEU
61,Technische Universitat Ilmenau,DEU
62,Hochschule Reutlingen,DEU
63,Technische Universitat Chemnitz,DEU
64,Brandenburgische Technische Universitat Cottbus,DEU
65,Hochschule Bonn-Rhein-Sieg,DEU
66,Universitat Siegen,DEU
67,Universitat Osnabruck,DEU
68,Bergische Universitat Wuppertal,DEU
69,Hochschule Niederrhein,DEU
70,Leuphana Universitat Luneburg,DEU
71,Technische Hochschule Ingolstadt,DEU
72,Universitat der Bundeswehr Munchen,DEU
73,Hochschule Darmstadt,DEU
74,Hochschule Munchen,DEU
75,Universitat Witten-Herdecke,DEU
76,Technische Universitat Clausthal,DEU
77,Hochschule fur Angewandte Wissenschaften Hamburg,DEU
78,Bauhaus-Universitat Weimar,DEU
79,Hochschule Furtwangen,DEU
80,Helmut Schmidt Universitat - Universitat der Bundeswehr Hamburg,DEU
81,Technische Universitat Bergakademie Freiberg,DEU
82,Hochschule fur Technik und Wirtschaft Berlin,DEU
83,Hochschule Aalen,DEU
84,FernUniversitat in Hagen,DEU
85,Universitat Trier,DEU
86,"Hochschule fur Technik, Wirtschaft und Kultur Leipzig",DEU
87,Universitat Koblenz-Landau,DEU
88,Deutsche Sporthochschule Koln,DEU
89,Otto-Friedrich-Universitat Bamberg,DEU
90,Fachhochschule Munster,DEU
91,Universitat Erfurt,DEU
92,Hochschule Karlsruhe - Technik und Wirtschaft,DEU
93,WHU-Otto Beisheim School of Management,DEU
94,Katholische Universitat Eichstatt-Ingolstadt,DEU
95,Universitat Hildesheim,DEU
96,Hochschule Osnabruck,DEU
97,Europa-Universitat Flensburg,DEU
98,Universitat Vechta,DEU
