Rank,University,Country
1,University of Indonesia,IDN
2,Gadjah Mada University,IDN
3,Diponegoro University,IDN
4,Airlangga university,IDN
5,Bogor Agricultural University,IDN
6,Brawijaya University,IDN
7,Bandung Institute of Technology,IDN
8,Universitas Negeri Sebelas Maret,IDN
9,Universitas Sumatera Utara,IDN
10,Padjadjaran University,IDN
11,Syiah Kuala University,IDN
12,Indonesia University of Education,IDN
13,Universitas Negeri Semarang,IDN
14,Universitas Negeri Yogyakarta,IDN
15,Lampung University,IDN
16,Universitas Negeri Padang,IDN
17,Sepuluh Nopember Institute of Technology,IDN
18,Hasanuddin University,IDN
19,Binus University,IDN
20,Universitas Pendidikan Ganesha,IDN
21,Andalas University,IDN
22,Universitas Pelita Harapan,IDN
23,Sriwijaya University,IDN
24,Udayana University,IDN
25,Telkom University,IDN
26,Negeri Malang University,IDN
27,Universitas Negeri Surabaya,IDN
28,Universitas Negeri Medan,IDN
29,Universitas Negeri Makassar,IDN
30,Universitas Ahmad Dahlan Yogyakarta,IDN
31,Jember University,IDN
32,Universitas Riau,IDN
33,Universitas Islam Negeri Sunan Gunung Djati,IDN
34,Universitas Atma Jaya Yogyakarta,IDN
35,University of Mataram,IDN
36,Universitas Sultan Ageng Tirtayasa,IDN
37,University of Surabaya,IDN
38,Universitas Muhammadiyah Surakarta,IDN
39,Universitas Negeri Jakarta,IDN
40,Sam Ratulangi University,IDN
41,Universitas Muhammadiyah Malang,IDN
42,Universitas Jenderal Soedirman,IDN
43,Universitas Lambung Mangkurat,IDN
44,Universitas Muhammadiyah Yogyakarta,IDN
45,Haluoleo University,IDN
46,Syarif Hidayatullah State Islamic University Jakarta,IDN
47,Islamic University of Indonesia,IDN
48,Universitas Tadulako,IDN
49,University of Bengkulu,IDN
50,Universitas Kristen Maranatha Bandung,IDN
51,Mulawarman University,IDN
52,Atma Jaya Catholic University of Indonesia,IDN
53,Universitas Katolik Widya Mandala Surabaya,IDN
54,Universitas Dian Nuswantoro,IDN
55,Universitas Islam Sultan Agung Semarang,IDN
56,Universitas Mercu Buana,IDN
57,Trisakti University,IDN
58,Universitas Nahdlatul Ulama Surabaya,IDN
59,Parahyangan Catholic University,IDN
60,Electronics Engineering Polytechnic Institute of Surabaya,IDN
