Rank,University,Country
1,"University of Science, Malaysia",MYS
2,University Putra Malaysia,MYS
3,University of Malaya,MYS
4,National University of Malaysia,MYS
5,"University of Technology, Malaysia",MYS
6,Universiti Teknologi MARA,MYS
7,International Islamic University Malaysia,MYS
8,Petronas University of Technology,MYS
9,Monash University Malaysia,MYS
10,Taylors University,MYS
11,"University of Nottingham, Malaysia Campus",MYS
12,"University of Malaysia, Pahang",MYS
13,Tun Hussein Onn University of Malaysia,MYS
14,"University of Malaysia, Perlis",MYS
15,University Tunku Abdul Rahman,MYS
16,"Swinburne University of Technology, Sarawak Campus",MYS
17,International Medical University,MYS
18,Tenaga National University,MYS
19,"University of Malaysia, Sarawak",MYS
20,Sunway University,MYS
21,University of Kuala Lumpur,MYS
22,"Technical University of Malaysia, Melaka",MYS
23,University of Malaysia Sabah,MYS
24,University Malaysia Terengganu,MYS
25,Sultan Idris University of Education,MYS
26,AIMST University,MYS
27,UCSI University,MYS
28,"Curtin University, Malaysia",MYS
29,Multimedia University,MYS
30,Northern University of Malaysia,MYS
31,Management and Science University,MYS
32,Tunku Abdul Rahman University College,MYS
33,Sultan Zainal Abidin University,MYS
34,Heriot-Watt University Malaysia,MYS
35,Islamic Science University of Malaysia,MYS
36,University of Malaysia Kelantan,MYS
37,Asia Pacific University of Technology and Innovation,MYS
38,National Defence University of Malaysia,MYS
39,INTI International University & Colleges,MYS
40,SEGi University,MYS
41,Melaka Manipal Medical College,MYS
42,"Lincoln University College, Kuala Lumpur",MYS
