Rank,University,Country
1,Universidad Nacional Autonoma de Mexico,MEX
2,Instituto Tecnologico y de Estudios Superiores de Monterrey,MEX
3,Instituto Politecnico Nacional,MEX
4,Universidad de Guadalajara,MEX
5,Universidad Autonoma de Nuevo Leon,MEX
6,Centro de Investigacion y de Estudios Avanzados del IPN,MEX
7,Universidad Autonoma Metropolitana,MEX
8,Centro Nacional de Investigacion y Desarrollo Tecnologico,MEX
9,Universidad Autonoma del Estado de Hidalgo,MEX
10,Benemerita Universidad Autonoma de Puebla,MEX
11,Universidad Autonoma del Estado de Mexico,MEX
12,Universidad Veracruzana,MEX
13,Universidad de Guanajuato,MEX
14,Universidad Autonoma de Coahuila,MEX
15,Universidad Autonoma de Baja California,MEX
16,Universidad Anahuac,MEX
17,Universidad de Colima,MEX
18,Universidad Autonoma de San Luis Potosi,MEX
19,Universidad Autonoma de Queretaro,MEX
20,El Colegio de Mexico,MEX
21,"Universidad Iberoamericana, Mexico",MEX
22,Universidad Autonoma del Estado de Morelos,MEX
23,Universidad de Sonora,MEX
24,Universidad Autonoma de Yucatan,MEX
25,Universidad Autonoma de Sinaloa,MEX
26,Instituto Tecnologico de Celaya,MEX
27,Universidad Michoacana de San Nicolas de Hidalgo,MEX
28,Universidad Autonoma de Chihuahua,MEX
29,Instituto Tecnologico de Tijuana,MEX
30,Universidad Panamericana,MEX
31,Universidad Autonoma de la Ciudad de Mexico,MEX
32,Universidad de las Americas Puebla,MEX
33,Universidad Juarez del Estado de Durango,MEX
34,Instituto Tecnologico de Sonora,MEX
35,Universidad Autonoma Agraria Antonio Narro,MEX
36,Universidad Autonoma de Tamaulipas,MEX
37,Universidad Autonoma de Guerrero,MEX
38,Universidad de Monterrey,MEX
39,Universidad Autonoma de Ciudad Juarez,MEX
40,Universidad Autonoma de Zacatecas,MEX
41,Universidad Autonoma Chapingo,MEX
42,Universidad Autonoma de Chiapas,MEX
43,Universidad Juarez Autonoma de Tabasco,MEX
44,Universidad Autonoma de Aguascalientes,MEX
45,Colegio de Postgraduados,MEX
46,Universidad Autonoma de Campeche,MEX
47,Universidad Autonoma de Nayarit,MEX
48,Universidad Popular Autonoma del Estado de Puebla,MEX
49,Universidad Autonoma de Tlaxcala,MEX
50,Universidad Autonoma de Baja California Sur,MEX
51,Instituto Tecnologico Autonomo de Mexico,MEX
52,Universidad de Ciencias y Artes de Chiapas,MEX
53,Escuela Nacional de Antropologia e Historia,MEX
54,"Universidad Internacional Iberoamericana, Mexico",MEX
