Rank,University,Country
1,Universidade de Lisboa,PRT
2,Universidade do Porto,PRT
3,Universidade Nova de Lisboa,PRT
4,Universidade de Coimbra,PRT
5,Universidade do Minho,PRT
6,Universidade de Aveiro,PRT
7,ISCTE Instituto Universitario de Lisboa,PRT
8,Universidade da Beira Interior,PRT
9,Universidade da Madeira,PRT
10,Instituto Politecnico de Braganca,PRT
11,Universidade do Algarve,PRT
12,Universidade Catolica Portuguesa,PRT
13,Universidade de Tras-os-Montes e Alto Douro,PRT
14,Universidade de Evora,PRT
15,Instituto Politecnico do Porto,PRT
16,Universidade Lusofona de Humanidades e Tecnologias,PRT
17,Egas Moniz Cooperativa de Ensino Superior,PRT
18,Instituto Politecnico de Leiria,PRT
19,Instituto Politecnico de Viseu,PRT
20,Instituto Politecnico de Beja,PRT
21,Universidade dos Acores,PRT
22,Cooperativa de Ensino Superior Politecnico e Universitario,PRT
23,Instituto Politecnico da Guarda,PRT
24,Instituto Politecnico de Coimbra,PRT
25,"Instituto Universitario de Ciencias Psicologicas, Sociais e da Vida",PRT
26,Instituto Politecnico de Lisboa,PRT
27,Escola Superior de Enfermagem de Coimbra,PRT
28,Instituto Politecnico de Viana do Castelo,PRT
29,Instituto Politecnico de Santarem,PRT
30,Universidade Fernando Pessoa,PRT
31,Escola superior de Enfermagem do Porto,PRT
32,Instituto Politecnico de Setubal,PRT
33,Instituto Politecnico do Cavado e do Ave,PRT
34,Instituto Politecnico de Castelo Branco,PRT
35,Instituto de Astrofisica e Ciencias do Espaco,PRT
36,Universidade Portucalense Infante D Henrique,PRT
37,Universidade Europeia,PRT
38,Universidade Aberta,PRT
39,Instituto Politecnico de Portalegre,PRT
40,Universidade Lusiada,PRT
41,"Instituto Piaget  - Cooperativa para o Desenvolvimento Humano, Integral e Ecológico, CRL",PRT
