Rank,University,Country
1,Universitat de Barcelona,ESP
2,Universitat Autonoma de Barcelona,ESP
3,Universidad Complutense de Madrid,ESP
4,Universidad Autonoma de Madrid,ESP
5,Universitat de Valencia,ESP
6,Universidad de Granada,ESP
7,Universidad de Sevilla,ESP
8,Universitat Politecnica de Valencia,ESP
9,Universidad del Pais Vasco,ESP
10,Universidad de Navarra,ESP
11,Universidad Politecnica de Madrid,ESP
12,Universitat Politecnica de Catalunya,ESP
13,Universidad de Murcia,ESP
14,Universitat d'Alacant,ESP
15,Universidad de Salamanca,ESP
16,Universidad de Zaragoza,ESP
17,Universitat Pompeu Fabra,ESP
18,Universidade de Santiago de Compostela,ESP
19,Universidad Carlos III de Madrid,ESP
20,Universidad de Malaga,ESP
21,Universidad de Cordoba,ESP
22,Universidad de Oviedo,ESP
23,Universidad de Valladolid,ESP
24,Universidad Europea de Madrid,ESP
25,Universitat Rovira i Virgili,ESP
26,Universitat Jaume I,ESP
27,Universidad de Alcala,ESP
28,Universidad de Castilla-La Mancha,ESP
29,Universidad de La Rioja,ESP
30,Universidad de La Laguna,ESP
31,Universidad Nacional de Educacion a Distancia,ESP
32,Universidad Rey Juan Carlos,ESP
33,Universidade de Vigo,ESP
34,Universidad Miguel Hernandez,ESP
35,Universidad de Cantabria,ESP
36,Universidad de las Palmas de Gran Canaria,ESP
37,Universidad Publica de Navarra,ESP
38,Universidade da Coruna,ESP
39,Universidad de Extremadura,ESP
40,Universidad Pablo de Olavide,ESP
41,Universidad de Almeria,ESP
42,Universitat Oberta de Catalunya,ESP
43,Universidad de Jaen,ESP
44,Universitat de Girona,ESP
45,Universitat de les Illes Balears,ESP
46,Universidad de Cadiz,ESP
47,Universitat de Vic,ESP
48,Universidad Francisco de Vitoria,ESP
49,"Universidad de Leon, Spain",ESP
50,Mondragon Unibertsitatea,ESP
51,Universidad de Burgos,ESP
52,Universitat Ramon Llull,ESP
53,Universitat de Lleida,ESP
54,Universidad San Pablo CEU,ESP
55,Universidad de Huelva,ESP
56,Universidad Politecnica de Cartagena,ESP
57,Universidad Catolica San Antonio de Murcia,ESP
58,Deustuko Unibertsitatea,ESP
59,Universitat Internacional de Catalunya,ESP
60,Universidad Cardenal Herrera CEU,ESP
61,Universidad Internacional Valenciana,ESP
62,Universidad Catolica de Valencia San Vicente Martir,ESP
63,Universidad Pontificia Comillas,ESP
64,Universidad Loyola Andalucia,ESP
65,Universidad Alfonso X El Sabio,ESP
66,ESIC Universidad,ESP
67,Universidad Catolica de Avila,ESP
68,Universidad Antonio de Nebrija,ESP
69,Escola Superior d'Administracio i Direccio d'Empreses,ESP
70,Universidad Camilo Jose Cela,ESP
71,Universidad Pontificia de Salamanca,ESP
72,Universidad San Jorge,ESP
73,Universidad Isabel I,ESP
74,"Universidad Internacional de La Rioja, Logroño",ESP
75,Universidad Europea del Atlantico,ESP
76,"IE Universidad, Madrid",ESP
