Rank,University,Country
1,Karolinska Institute,SWE
2,Lunds University,SWE
3,Uppsala University,SWE
4,University of Gothenburg,SWE
5,Royal Institute of Technology,SWE
6,Linkoping University,SWE
7,Stockholm University,SWE
8,Chalmers University of Technology,SWE
9,Umea University,SWE
10,Swedish University of Agricultural Sciences,SWE
11,Orebro Universitet,SWE
12,Lulea University of Technology,SWE
13,Mid Sweden University,SWE
14,University of Boras,SWE
15,Jonkoping University,SWE
16,AlbaNova University Center,SWE
17,Karlstad University,SWE
18,Linnaeus University,SWE
19,Malmo University,SWE
20,Hogskola i Skovde,SWE
21,Halmstad University College,SWE
22,Blekinge Institute of Technology,SWE
23,University West,SWE
24,Malardalen University College,SWE
25,Stockholm School of Economics,SWE
26,Sodertorn University,SWE
27,Dalarna University College,SWE
28,University of Gavle,SWE
