Rank,University,Country
1,University of Oxford,GBR
2,University College London,GBR
3,University of Cambridge,GBR
4,Imperial College London,GBR
5,Kings College London,GBR
6,The University of Edinburgh,GBR
7,The University of Manchester,GBR
8,University of Liverpool,GBR
9,University of Nottingham,GBR
10,University of Birmingham,GBR
11,University of Glasgow,GBR
12,University of Bristol,GBR
13,University of Leeds,GBR
14,"Queen Mary, University of London",GBR
15,"Newcastle University, Newcastle upon Tyne",GBR
16,The University of Sheffield,GBR
17,University of Southampton,GBR
18,Cardiff University,GBR
19,University of Warwick,GBR
20,University of Exeter,GBR
21,London School of Hygiene and Tropical Medicine,GBR
22,Queen's University Belfast,GBR
23,University of Surrey,GBR
24,University of York,GBR
25,University of Bath,GBR
26,Lancaster University,GBR
27,University of Leicester,GBR
28,University of Strathclyde,GBR
29,University of East Anglia,GBR
30,University of Dundee,GBR
31,University of Durham,GBR
32,University of Sussex,GBR
33,Loughborough University,GBR
34,The University of Reading,GBR
35,The University of Kent,GBR
36,London School of Economics and Political Science,GBR
37,Swansea University,GBR
38,University of St. Andrews,GBR
39,Northumbria University,GBR
40,Cranfield University,GBR
41,University of Aberdeen,GBR
42,Aston University,GBR
43,The Nottingham Trent University,GBR
44,The Manchester Metropolitan University,GBR
45,Brunel University,GBR
46,University of Ulster,GBR
47,University of Essex,GBR
48,Liverpool John Moores University,GBR
49,St Georges University of London,GBR
50,University of Portsmouth,GBR
51,The Open University,GBR
52,Plymouth University,GBR
53,Coventry University,GBR
54,University of Huddersfield,GBR
55,University of Lincoln,GBR
56,City University London,GBR
57,University of Greenwich,GBR
58,Liverpool School of Tropical Medicine,GBR
59,London Metropolitan University,GBR
60,University of the West of England,GBR
61,Keele University,GBR
62,Sheffield Hallam University,GBR
63,De Montfort University,GBR
64,The University of Hull,GBR
65,"Royal Veterinary College, University of London",GBR
66,Edinburgh Napier University,GBR
67,University of Stirling,GBR
68,Aberystwyth University,GBR
69,Royal Holloway - University of London,GBR
70,Bournemouth University,GBR
71,University of Bradford,GBR
72,Robert Gordon University,GBR
73,Middlesex University,GBR
74,"Heriot-Watt University, United Kingdom",GBR
75,Anglia Ruskin University,GBR
76,Glasgow Caledonian University,GBR
77,Bangor University,GBR
78,University of the West of Scotland,GBR
79,The University of Salford,GBR
80,University of Westminster,GBR
81,University of Hertfordshire,GBR
82,University of Central Lancashire,GBR
83,University of Teesside,GBR
84,University of West London,GBR
85,University of Brighton,GBR
86,"Birkbeck, University of London",GBR
87,University of Wolverhampton,GBR
88,Oxford Brookes University,GBR
89,Leeds Beckett University,GBR
90,Birmingham City University,GBR
91,The University of Bolton,GBR
92,Kingston University,GBR
93,Edge Hill University,GBR
94,University of the Highlands and Islands,GBR
95,London South Bank University,GBR
96,University of Derby,GBR
97,University of Chester,GBR
98,London Business School,GBR
99,University of Abertay Dundee,GBR
100,"Goldsmiths, University of London",GBR
101,Staffordshire University,GBR
102,University of East London,GBR
103,University of Sunderland,GBR
104,University of Gloucestershire,GBR
105,York St John University,GBR
106,University of South Wales,GBR
107,Harper Adams University College,GBR
108,University of Bedfordshire,GBR
109,Roehampton University,GBR
110,University of Worcester,GBR
111,School of Oriental and African Studies,GBR
112,Canterbury Christ Church University,GBR
113,"Queen Margaret University, Edinburgh",GBR
114,Cardiff Metropolitan University,GBR
115,The University of Northampton,GBR
116,"University of Wales, Trinity Saint David",GBR
117,St Marys University College Twickenham,GBR
118,University of Chichester,GBR
119,University of the Arts London,GBR
120,University of Suffolk,GBR
121,University of Winchester,GBR
122,University of Buckingham,GBR
123,Bath Spa University,GBR
124,Liverpool Hope University,GBR
125,Royal College of Art,GBR
