Rank,University,Country
1,Harvard University,USA
2,Harvard Medical School,USA
3,Stanford University,USA
4,Johns Hopkins University,USA
5,Massachusetts Institute of Technology,USA
6,University of Washington,USA
7,"University of Michigan, Ann Arbor",USA
8,University of Pennsylvania,USA
9,Cornell University,USA
10,Columbia University,USA
11,"University of California, Los Angeles",USA
12,"University of California, San Diego",USA
13,Yale University,USA
14,"University of California, Berkeley",USA
15,"University of California, San Francisco",USA
16,University of Chicago,USA
17,Duke University,USA
18,"University of North Carolina, Chapel Hill",USA
19,"Northwestern University, Evanston",USA
20,New York University,USA
21,Harvard-MIT Division of Health Sciences and Tecnology,USA
22,"University of Minnesota, Twin Cities",USA
23,"University of Wisconsin, Madison",USA
24,"Ohio State University, Columbus",USA
25,"University of California, Davis",USA
26,University of Florida,USA
27,University of Pittsburgh,USA
28,University of Southern California,USA
29,University of Illinois at Urbana-Champaign,USA
30,Washington University in Saint Louis,USA
31,Pennsylvania State University,USA
32,"University of Texas, Austin",USA
33,Emory University,USA
34,Weill Cornell Medicine,USA
35,Vanderbilt University,USA
36,Purdue University,USA
37,Georgia Institute of Technology,USA
38,Boston University,USA
39,Carnegie Mellon University,USA
40,"Rutgers, The State University of New Jersey",USA
41,Icahn School of Medicine at Mount Sinai,USA
42,"University of Maryland, College Park",USA
43,"Texas A&M University, College Station",USA
44,"University of California, Irvine",USA
45,Arizona State University,USA
46,Michigan State University,USA
47,University of Utah,USA
48,Princeton University,USA
49,California Institute of Technology,USA
50,University of Arizona,USA
51,"University of Colorado, Denver",USA
52,University of Virginia,USA
53,The Rockefeller University,USA
54,"University of Colorado, Boulder",USA
55,North Carolina State University,USA
56,"University of Colorado, Anschutz Medical Campus",USA
57,University of Rochester,USA
58,Baylor College of Medicine,USA
59,Brown University,USA
60,University of Texas Southwestern Medical Center,USA
61,"University of Illinois, Chicago",USA
62,Virginia Polytechnic Institute and State University,USA
63,Case Western Reserve University,USA
64,University of Iowa,USA
65,"University of Alabama, Birmingham",USA
66,"University of Maryland, Baltimore",USA
67,University of Miami,USA
68,"University of California, Santa Barbara",USA
69,Indiana University-Bloomington,USA
70,Oregon Health & Science University,USA
71,"Northeastern University, USA",USA
72,University of Georgia,USA
73,University of Cincinnati,USA
74,University of Pittsburgh Health Sciences,USA
75,Iowa State University,USA
76,Temple University,USA
77,"University of Connecticut, Storrs",USA
78,Indiana University-Purdue University Indianapolis,USA
79,"University of Massachusetts, Amherst",USA
80,"University of Tennessee, Knoxville",USA
81,"Colorado State University, Fort Collins",USA
82,University of South Florida,USA
83,"State University of New York, Buffalo",USA
84,University of Kentucky,USA
85,University of Massachusetts Medical School,USA
86,George Washington University,USA
87,"University of Nebraska, Lincoln",USA
88,City University of New York,USA
89,University of Kansas,USA
90,Tufts University,USA
91,University of Central Florida,USA
92,"University of California, Riverside",USA
93,"State University of New York, Stony Brook",USA
94,University of Minnesota Health and Medicine,USA
95,Georgetown University,USA
96,Virginia Commonwealth University,USA
97,Oregon State University,USA
98,University of Houston,USA
99,Rice University,USA
100,Wayne State University,USA
101,Dartmouth College,USA
102,University of Notre Dame,USA
103,University of Oklahoma,USA
104,"Washington State University, Pullman",USA
105,University of New Mexico,USA
106,Florida State University,USA
107,"University of California, Santa Cruz",USA
108,Albert Einstein College of Medicine,USA
109,University of Delaware,USA
110,"University of Missouri, Columbia",USA
111,"University of Texas, Dallas",USA
112,Drexel University,USA
113,"University of Texas, Health Science Center at Houston",USA
114,University of South Carolina,USA
115,"University of Hawaii, Manoa",USA
116,University of South Florida System,USA
117,Wake Forest University,USA
118,The Florida A&M University and The Florida State University College of Engineering,USA
119,University of Texas Medical Branch,USA
120,Florida International University,USA
121,"Louisiana State University, Baton Rouge",USA
122,University of Nebraska Medical Center,USA
123,Tulane University,USA
124,Georgia State University,USA
125,West Virginia University,USA
126,Medical University of South Carolina,USA
127,Medical College of Wisconsin,USA
128,George Mason University,USA
129,"Texas A&M University, Health Science Center",USA
130,University of Texas Health Science Center at San Antonio,USA
131,New Jersey Institute of Technology,USA
132,University of Connecticut Health Center,USA
133,"University of California, Merced",USA
134,Thomas Jefferson University,USA
135,Rush University,USA
136,City University of New York Graduate Center,USA
137,Clemson University,USA
138,"City University of New York, City College",USA
139,"University of Texas, San Antonio",USA
140,Rensselaer Polytechnic Institute,USA
141,USF Health,USA
142,Kansas State University,USA
143,University of Louisville,USA
144,San Diego State University,USA
145,Auburn University,USA
146,Utah State University,USA
147,Illinois Institute of Technology,USA
148,"University of Arkansas, Fayetteville",USA
149,Stevens Institute of Technology,USA
150,University of Nevada-Reno,USA
151,University of Mississippi,USA
152,State University of New York at Binghamton,USA
153,University of Vermont,USA
154,Brigham Young University,USA
155,Texas Tech University,USA
156,University of Oregon,USA
157,"University of Texas, Arlington",USA
158,"State University of New York, Albany",USA
159,University of Akron,USA
160,"Oklahoma State University, Stillwater",USA
161,"City University of New York, Hunter College",USA
162,University of Rhode Island,USA
163,University of North Texas,USA
164,Michigan Technological University,USA
165,Augusta University,USA
166,Rochester Institute of Technology,USA
167,University of Oklahoma Health Sciences Center,USA
168,"Saint Louis University, Saint Louis",USA
169,Syracuse University,USA
170,"University of Maryland, Baltimore County",USA
171,University of Idaho,USA
172,Virginia-Maryland Regional College of Veterinary Medicine,USA
173,Worcester Polytechnic Institute,USA
174,Mississippi State University,USA
175,Northern Arizona University,USA
176,"State University of New York, New Paltz",USA
177,"Washington State University, Spokane Campus",USA
178,"University of Alabama, Tuscaloosa",USA
179,Brandeis University,USA
180,University of Mississippi Medical Center,USA
181,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,USA
182,University of Arkansas for Medical Sciences,USA
183,Colorado School of Mines,USA
184,"Washington State University, Tri-Cities Campus",USA
185,Hofstra University,USA
186,University of South Florida-Saint Petersburg,USA
187,"Montana State University, Bozeman",USA
188,Loyola University of Chicago,USA
189,Florida Atlantic University,USA
190,Boston College,USA
191,Graduate School of Public Health and Health Policy,USA
192,"University of Massachusetts, Lowell",USA
193,Florida Agricultural & Mechanical University,USA
194,Baylor University,USA
