name,country,alpha_two_code,web_pages
Sun Yat-Sen University,China,CN,https://sysu.edu.cn
Hunan University,China,CN,https://www.hnu.edu.cn
Anhui Medical University,China,CN,http://www.ahmu.edu.cn/
Anhui Normal University,China,CN,http://www.ahnu.edu.cn/
Anhui Technical College of Water Resources and Hydroelectric Power,China,CN,http://www.ahsdxy.ah.edu.cn/
Anhui University of Traditional Chinese Medicine,China,CN,http://www.ahtcm.edu.cn/
Anhui University,China,CN,http://www.ahu.edu.cn/
Anhui University of Finance and Economics,China,CN,http://www.aufe.edu.cn/
Beijing University of Agriculture,China,CN,http://www.bac.edu.cn/
Beijing Foreign Studies University,China,CN,http://www.bfsu.edu.cn/
Bohai University,China,CN,http://www.bhu.edu.cn/
Beijing International Studies University,China,CN,http://www.bisu.edu.cn/
Beijing Institute of Technology,China,CN,http://www.bit.edu.cn/
Beijing Information Science and Technology University,China,CN,http://www.biti.edu.cn/
Beijing Jiaotong University,China,CN,https://www.bjtu.edu.cn
China Agriculture University East,China,CN,http://www.bjaeu.edu.cn/
Beijing Forestry University,China,CN,http://www.bjfu.edu.cn/
Beijing Medical University,China,CN,http://www.bjmu.edu.cn/
Beijing Petroleum University,China,CN,http://www.bjpeu.edu.cn/
Beijing Polytechnic University,China,CN,http://www.bjpu.edu.cn/
Beijing University of Chinese Medicine and Pharmacology,China,CN,http://www.bjucmp.edu.cn/
Beijing Language and Culture University,China,CN,http://www.blcu.edu.cn/
Beijing Normal University,China,CN,http://www.bnu.edu.cn/
Beijing Sport University,China,CN,http://www.bsu.edu.cn/
Beijing University of Aeronautics and Astronautics,China,CN,http://www.buaa.edu.cn/
Beijing University of Chemical Technology,China,CN,http://www.buct.edu.cn/
Beijing University of Posts and Telecommunications,China,CN,http://www.bupt.edu.cn/
Central Academy of  Fine Art,China,CN,http://www.cafa.edu.cn/
Civil Aviation University of China,China,CN,http://www.cauc.edu/
China Agricultural University,China,CN,http://www.cau.edu.cn/
Central China Normal University,China,CN,http://www.ccnu.edu.cn/
Changchun University of Technology,China,CN,http://www.ccut.edu.cn/
Chengdu University,China,CN,http://www.cdu.edu.cn/
Chengdu University of Traditional Chinese Medicine,China,CN,http://www.cdutcm.edu.cn/
Chengdu University of Technology,China,CN,http://www.cdut.edu.cn/
China Foreign Affairs University,China,CN,http://www.cfau.edu.cn/
China Academy of Art,China,CN,http://www.chinaacademyofart.com/
Chengdu Institute of Sichuan International Studies University,China,CN,http://www.cisisu.edu.cn/
China Medical University Shenyang,China,CN,http://www.cmu.edu.cn/
Changchun Teachers College,China,CN,http://www.cncnc.edu.cn/
Capital Normal University,China,CN,http://www.cnu.edu.cn/
Chinese People's Public Security University,China,CN,http://www.cppsu.edu.cn/
China Pharmaceutical University Nanjing,China,CN,http://www.cpu.edu.cn/
Capital University of Medical Sciences,China,CN,http://www.cpums.edu.cn/
Chongqing Education College,China,CN,http://www.cqec.net.cn/
Chongqing Vocational College of Public Transportation,China,CN,http://www.cqgyzy.com/
Chongqing Medical University,China,CN,http://www.cqmu.edu.cn/
Chongqing Normal University,China,CN,http://www.cqnu.edu.cn/
Chongqing Telecommunication College,China,CN,http://www.cqtcedu.com/
Chongqing University of Communications,China,CN,http://www.cquc.edu.cn/
Chongqing University,China,CN,http://www.cqu.edu.cn/
Chongqing University of Post and Telecommunications,China,CN,http://www.cqupt.edu.cn/
Chongqing University of Science and Technology,China,CN,http://www.cqust.cn/
Chongqing University of Technology,China,CN,http://www.cqut.edu.cn/
Chongqing Wenli University,China,CN,http://www.cqwu.net/
Central Radio and TV University,China,CN,http://www.crtvu.edu.cn/
Central South Forestry University,China,CN,http://www.csfu.edu.cn/
Changsha Railway University,China,CN,http://www.csru.edu.cn/
Central South University,China,CN,http://www.csu.edu.cn/
Changsha University of Electric Power,China,CN,http://www.csuep.edu.cn/
Chongqing Technology and Business University,China,CN,http://www.ctbu.edu.cn/
China Three Gorges University,China,CN,http://www.ctgu.edu.cn/
China USA Business University,China,CN,http://www.cubu.edu/
Communication University of China,China,CN,http://www.cuc.edu.cn/
Capital University of Economics and Business,China,CN,http://www.cueb.edu.cn/
Central University of Finance and Economics,China,CN,http://www.cufe.edu.cn/
China University of Geoscience Beijing,China,CN,http://www.cugb.edu.cn/
China University of Geosciences Wuhan,China,CN,http://www.cug.edu.cn/
China University of Mining Technology - Beijing,China,CN,http://www.cumtb.edu.cn/
China University of Mining Technology - Xuzhou,China,CN,http://www.cumt.edu.cn/
Central University for Nationalities,China,CN,http://www.cun.edu.cn/
China University of Political Science and Law,China,CN,http://www.cupl.edu.cn/
China youth college for political science,China,CN,http://www.cyc.edu.cn/
"Donghua University, Shanghai",China,CN,http://www.dhu.edu.cn/
Dalian Medical University,China,CN,http://www.dlmedu.edu.cn/
Dalian Martime University,China,CN,http://www.dlmu.edu.cn/
Dalian University,China,CN,http://www.dlu.edu.cn/
Dalian University of Foreign Language,China,CN,http://www.dlufl.edu.cn/
Dalian University of Technology,China,CN,http://www.dlut.edu.cn/
Dongbei University of Finance And Economics,China,CN,http://www.dufe.edu.cn/
East China Jiao Tong University,China,CN,http://www.ecjtu.jx.cn/
East China Normal University,China,CN,http://www.ecnu.edu.cn/
East China University of Science and Technology,China,CN,http://www.ecust.edu.cn/
Emeishan Buddhist College,China,CN,http://www.emsfj.com/
Southern Medial University,China,CN,http://www.fimmu.edu.cn/
Fujian Agricultural University,China,CN,http://www.fjau.edu.cn/
Fujian Medical University,China,CN,http://www.fjmu.edu.cn/
Fujian Normal University,China,CN,http://www.fjnu.edu.cn/
Fujian University of Traditional Chinese Medicine,China,CN,http://www.fjtcm.edu.cn/
4th Military Medical University,China,CN,http://www.fmmu.edu.cn/
Foshan University,China,CN,http://www.fosu.edu.cn/
Fushun Petroleum University,China,CN,http://www.fspu.edu.cn/
Fudan University,China,CN,http://www.fudan.edu.cn/
Fuzhou University,China,CN,http://www.fzu.edu.cn/
Guangdong Polytechnic Normal University,China,CN,http://www.gdin.edu.cn/
Guangdong Radio & TV University,China,CN,http://www.gdrtvu.edu.cn/
