name,country,alpha_two_code,web_pages
Addis Ababa Science & Technology University,Ethiopia,ET,http://www.aastu.org/
Addis Ababa University,Ethiopia,ET,http://www.aau.edu.et/
Adigrat University,Ethiopia,ET,http://www.adu.edu.et/
Aksum University,Ethiopia,ET,http://www.aku.edu.et/
Ambo University,Ethiopia,ET,http://www.ambou.edu.et/
Arba Minch University,Ethiopia,ET,http://www.amu.edu.et/
Adama Science and Technology University,Ethiopia,ET,http://www.astu.edu.et/
Assosa University,Ethiopia,ET,http://www.asu.edu.et/
Bahir Dar University,Ethiopia,ET,http://www.bdu.edu.et/
Bule Hora  University,Ethiopia,ET,http://www.bulehorauniversity.com/
Debre Birhan University,Ethiopia,ET,http://www.dbu.edu.et/
Dire Dawa University,Ethiopia,ET,http://www.ddu.edu.et/
Dilla University,Ethiopia,ET,http://www.dillauniversity.edu.et/
Debre Markos University,Ethiopia,ET,http://www.dmu.edu.et/
Ethiopian Civil Service University,Ethiopia,ET,http://www.ecsc.edu.et/
Haramaya University,Ethiopia,ET,http://www.haramaya.edu.et/
Hawassa University,Ethiopia,ET,http://www.hu.edu.et/
Jigjiga University,Ethiopia,ET,http://www.jju.edu.et/
Jimma University,Ethiopia,ET,http://www.ju.edu.et/
Mekelle Institute of Technology,Ethiopia,ET,http://www.mitethiopia.edu.et/
Mizan Tepi University,Ethiopia,ET,http://www.mtu.edu.et/
Mekelle University,Ethiopia,ET,http://www.mu.edu.et/
Madawalabu University,Ethiopia,ET,http://www.mwu.edu.et/
Semera University,Ethiopia,ET,http://www.su.edu.et/
Gondar University,Ethiopia,ET,http://www.uog.edu.et/
Unity  University,Ethiopia,ET,http://www.uuc.edu.et/
Wolkite University,Ethiopia,ET,http://www.wku.edu.et/
Wolaita Sodo University,Ethiopia,ET,http://www.wsu.edu.et/
Wollo University,Ethiopia,ET,http://www.wu.edu.et/
Wollega University,Ethiopia,ET,http://www.wuni.edu.et/
