name,country,alpha_two_code,web_pages
National Institute of Applied Sciences of Toulouse,France,FR,https://insa-toulouse.fr
IÉSEG School of Management,France,FR,https://ieseg.fr
Académie de Paris,France,FR,https://www.ac-paris.fr/
Académie d'Aix-Marseille,France,FR,https://www.ac-aix-marseille.fr/
Académie de Créteil,France,FR,https://www.ac-creteil.fr/
42 FR,France,FR,http://www.42.fr/
Ecole de l'Air,France,FR,http://www.aea.asso.fr/
AgroParisTech,France,FR,http://www.agroparistech.fr/
Ecole Nationale Supérieure d'Agronomie de Rennes,France,FR,http://agro.roazhon.inra.fr/
AgroSup Dijon,France,FR,http://www.agrosupdijon.fr/
American Graduate School in Paris,France,FR,http://www.ags.edu/
American University of Paris,France,FR,http://www.aup.fr/
"British Institute in Paris, University of London",France,FR,http://www.bip.lon.ac.uk/
Ecole Supérieure de Commerce de Sophia Antipolis,France,FR,http://www.ceram.edu/
Centre d'Etudes Supérieures Industrielles Paris,France,FR,http://www.cesi.fr/
Centre de Formation et de Perfectionnement des Journalistes,France,FR,http://www.cfpj.com/
Conservatoire National des Arts et Métiers,France,FR,http://www.cnam.fr/
Centre National d'Etudes Agronomiques des Régions Chaudes,France,FR,http://www.cnearc.fr/
Ecole Supérieure de Chimie Physique Electronique de Lyon,France,FR,http://www.cpe.fr/
Université Bordeaux I,France,FR,http://www.cribx1.u-bordeaux.fr/
Institut des Sciences de l'Ingénieur de Clermont-Ferrand,France,FR,http://cust.univ-bpclermont.fr/
Université Paris-Dauphine (Paris IX),France,FR,http://www.dauphine.fr/
Ecole Superieur d'Ingenieurs Leonard de Vinci,France,FR,http://www.devinci.fr/
Ecole d'Ingénieurs en Informatique pour l'Industrie,France,FR,http://www.e3i.univ-tours.fr/
Ecole Européen des Affaires,France,FR,http://www.eap.fr/
European Business School,France,FR,http://www.ebs-paris.com/
Ecole Catholique d'Arts & Metiers,France,FR,http://www.ecam.fr/
Ecole Centrale d'Electronique - ECE,France,FR,http://www.ece.fr/
IMT Atlantique,France,FR,https://www.imt-atlantique.fr/
Ecole Centrale de Lille,France,FR,http://www.ec-lille.fr/
Ecole Centrale de Lyon,France,FR,http://www.ec-lyon.fr/
Ecole Centrale de Nantes,France,FR,http://www.ec-nantes.fr/
Ecole Centrale de Marseille,France,FR,https://www.centrale-marseille.fr/
IDRAC (Institut de recherche en action commerciale),France,FR,http://www.ecoles-idrac.com/
Ecole des Hautes Etudes Commerciales du Nord,France,FR,http://edu.edhec.com/
Ecole pour les Etudes et la Recherche en Informatique et Electronique,France,FR,http://www.eerie.fr/
Ecole Française de Papeterie et des Industries Graphiques,France,FR,http://www.efpg.inpg.fr/
Ecole Française d'Electronique et d'Informatique,France,FR,http://www.efrei.fr/
Ecole des Ingénieurs de la Ville de Paris,France,FR,http://www.eivp-paris.fr/
European Management Center Paris,France,FR,http://www.emc-campus.com/
Ecole Supérieure de Commerce de Lyon,France,FR,http://www.em-lyon.com/
Ecole Nationale Supérieure des Mines de St-Etienne,France,FR,http://www.emse.fr/
Ecole Nationale de l'Aviation Civile,France,FR,http://www.enac.fr/
Ecole Nationale d'Administration,France,FR,http://www.ena.fr/
