name,country,alpha_two_code,web_pages
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,DE,http://www.akad.de/
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,DE,http://www.asfh-berlin.de/
Augustana Hochschule Neuendettelsau,Germany,DE,http://www.augustana.de/
Kirchliche Hochschule Bethel,Germany,DE,http://www.bethel.de/kiho/
BiTS - Business and Information Technology School gGmbH,Germany,DE,http://www.bits-iserlohn.de/
Cologne Business School,Germany,DE,http://www.cbs.de/
CODE University of Applied Sciences Berlin,Germany,DE,http://code.berlin/
Deutsche Hochschule für Verwaltungswissenschaften Speyer,Germany,DE,http://www.dhv-speyer.de/
DIPLOMA-Fachhochschule Ölsnitz/Vogtland,Germany,DE,http://www.diploma.de/
Deutsche Sporthochschule Köln,Germany,DE,http://www.dshs-koeln.de/
E.A.P. Europäische Wirtschaftshochschule Berlin,Germany,DE,http://www.eap.net/
Europäische Betriebswirtschafts-Akademie,Germany,DE,http://www.eba-muenchen.de/
European Business School Schloß Reichartshausen,Germany,DE,http://www.ebs.de/
European College of Liberal Arts,Germany,DE,http://www.ecla.de/
Evangelische Fachhochschule Rheinland-Westfalen-Lippe,Germany,DE,http://www.efh-bochum.de/
Evangelische Fachhochschule Darmstadt,Germany,DE,https://www.eh-darmstadt.de/
"Evangelische Fachhochschule Freiburg, Hochschule für Soziale Arbeit, Diakonie und Religionspädagogik",Germany,DE,http://www.efh-freiburg.de/
Evangelische Fachhochschule Hannover,Germany,DE,http://www.efh-hannover.de/
Evangelische Fachhochschule Ludwigshafen Hochschule für Sozial- und Gesundheitswesen,Germany,DE,http://www.efhlu.de/
"Evangelische Fachhochschule Reutlingen-Ludwigsburg, Hochschule für Soziale Arbeit, Religionspädagogik und Diakonie",Germany,DE,http://www.efh-reutlingen-ludwigsburg.de/
Evangelische Hochschule für Soziale Arbeit Dresden (FH),Germany,DE,http://www.ehs-dresden.de/
European Management School,Germany,DE,http://www.ems-mainz.de/
Europäische Fachhochschule,Germany,DE,http://www.eufh.de/
Europa-Universität Viadrina Frankfurt (Oder),Germany,DE,http://www.euv-frankfurt-o.de/
"Evangelische Fachhochschule Berlin, Fachhochschule für Sozialarbeit und Sozialpädagogik",Germany,DE,http://www.evfh-berlin.de/
Evangelische Fachhochschule Nürnberg,Germany,DE,http://www.evfh-nuernberg.de/
Fern-Fachhochschule Hamburg,Germany,DE,http://www.fern-fh.de/
Fernuniversität Gesamthochschule Hagen,Germany,DE,http://www.fernuni-hagen.de/
