name,country,alpha_two_code,web_pages
Accra Technical University,Ghana,GH,https://atu.edu.gh/
"Akrofi-Christaller Institute of Theeology, Mission and  Culture",Ghana,GH,http://www.acighana.org/
All Nations University College,Ghana,GH,http://www.anuc.edu.gh/
Ashesi University,Ghana,GH,http://www.ashesi.edu.gh/
Central University College,Ghana,GH,http://www.central.edu.gh/
Cape Coast Technical University,Ghana,GH,https://cctu.edu.gh/
Christ Apostolic University College,Ghana,GH,https://cauc.edu.gh/
Ghana Christian University College,Ghana,GH,http://www.ghanacu.org/
Ghana Institute of Management and Public Administration (GIMPA),Ghana,GH,http://www.gimpa.edu.gh/
Ghana Baptist University College,Ghana,GH,https://www.gbuc.edu.gh/
Ghana Telecom University College,Ghana,GH,http://www.gtuc.edu.gh/
Ho Technical University,Ghana,GH,https://htu.edu.gh/
Islamic University College,Ghana,GH,http://www.iug.edu.gh/
Kessben College,Ghana,GH,https://kc.edu.gh/
Kwame Nkrumah University of Science and Technology,Ghana,GH,http://www.knust.edu.gh/
Koforidua Technical University,Ghana,GH,https://www.ktu.edu.gh/
Kumasi Technical University,Ghana,GH,https://www.kstu.edu.gh/
Lancaster University,Ghana,GH,https://lancaster.edu.gh/
Pan African Christian University College,Ghana,GH,http://www.pacuc.edu.gh/
Presbyterian University College,Ghana,GH,http://www.presbyuniversity.edu.gh/
Regent University College of Science and Technology,Ghana,GH,http://www.regentghana.net/
Sunyani Technical University,Ghana,GH,https://stu.edu.gh/
Takoradi Technical University,Ghana,GH,https://www.ttu.edu.gh/
Trinity Theological Seminary,Ghana,GH,http://www.trinity.edu.gh/
University of Cape Coast,Ghana,GH,http://www.ucc.edu.gh/
University for Development Studies,Ghana,GH,http://www.uds.edu.gh/
"University of Education, Winneba",Ghana,GH,http://www.uew.edu.gh/
University of Ghana,Ghana,GH,http://www.ug.edu.gh/
Valley View University,Ghana,GH,http://www.vvu.edu.gh/
Zenith University College,Ghana,GH,https://www.zucghana.org
