name,country,alpha_two_code,web_pages
Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,Indonesia,ID,http://www.akfarmitseda.ac.id/
Institut Sains & Teknologi Akprind,Indonesia,ID,http://www.akprind.ac.id/
STMIK AMIKOM Yogyakarta,Indonesia,ID,http://www.amikom.ac.id/
STIKES RS Anwar Medika,Indonesia,ID,http://www.stikesrsanwarmedika.ac.id/
Universitas Katolik Indonesia Atma Jaya,Indonesia,ID,http://www.atmajaya.ac.id/
Universitas Bakrie,Indonesia,ID,http://www.bakrie.ac.id/
Binus University,Indonesia,ID,http://www.binus.ac.id/
STIKES Bina Sehat PPNI Mojokerto,Indonesia,ID,http://www.stikes-ppni.ac.id/
Universitas Bung Hatta,Indonesia,ID,http://www.bunghatta.ac.id/
Universitas Dian Nuswantoro,Indonesia,ID,http://www.dinus.ac.id/
Universitas Gunadarma,Indonesia,ID,http://www.gunadarma.ac.id/
Universitas Ibn Chaldun Jakarta,Indonesia,ID,http://www.ibnuchaldun.ac.id/
Universitas Indonusa Esa Unggul,Indonesia,ID,http://www.indonusa.ac.id/
Bogor Agricultural University,Indonesia,ID,http://www.ipb.ac.id/
Institut Sains dan Teknologi Al Kamal,Indonesia,ID,http://www.ista.ac.id/
Institut Teknologi Adhi Tama Surabaya,Indonesia,ID,http://www.itats.ac.id/
Institut Teknologi Bandung,Indonesia,ID,http://www.itb.ac.id/
Institut Teknologi Sepuluh Nopember,Indonesia,ID,http://www.its.ac.id/
Universitas Janabadra,Indonesia,ID,http://www.janabadra.ac.id/
Universitas Jayabaya,Indonesia,ID,http://www.jayabaya.ac.id/
Universitas Ma Chung,Indonesia,ID,http://www.machung.ac.id/
Universitas Maarif Hasyim Latif,Indonesia,ID,http://www.umaha.ac.id/
Universitas Mahendradatta,Indonesia,ID,http://www.mahendradatta.org/
Universitas Negeri Malang,Indonesia,ID,http://www.um.ac.id/
Universitas Kristen Maranatha,Indonesia,ID,http://www.maranatha.edu/
Universitas Mercu Buana,Indonesia,ID,http://www.mercubuana.ac.id/
Universitas Dr. R. Moestopo,Indonesia,ID,http://www.moestopo.ac.id/
Universitas Narotama,Indonesia,ID,http://www.narotama.ac.id/
Universitas HKBP Nommensen,Indonesia,ID,http://www.nommensen.org/
Universitas Pembangunan Panca Budi,Indonesia,ID,http://www.pancabudi.ac.id/
