name,country,alpha_two_code,web_pages
Allianze College of Medical Sciences (ACMS),Malaysia,MY,http://www.acms.edu.my/
Asia E University,Malaysia,MY,http://www.aeu.edu.my/
Aimst University,Malaysia,MY,http://www.aimst.edu.my/
Al-Bukhari International University,Malaysia,MY,http://www.aiu.edu.my/
Asia Pacific Institute of Information Technology (APIIT),Malaysia,MY,http://www.apiit.edu.my/
Advance Tertiary College,Malaysia,MY,http://www.atc2u.com/
Brickfields Asia College,Malaysia,MY,http://www.bac.edu.my/
Binary University College of Managemant & Entrepreneurship,Malaysia,MY,http://www.binary.edu.my/
British Malaysian Institute,Malaysia,MY,http://www.bmi.edu.my/
City University College of Science and Technology,Malaysia,MY,http://www.city.edu.my/
"Curtin University of Technology, Sarawak Campus",Malaysia,MY,http://www.curtin.edu.my/
Cyberjaya University College of Medical Science,Malaysia,MY,http://www.cybermed.edu.my/
FTMS Global Academy,Malaysia,MY,http://www.ftmsglobal.com/
Help University College,Malaysia,MY,http://www.help.edu.my/
Darul Hikmah Islamic College,Malaysia,MY,http://www.hikmah.edu.my/
"Institute of Teachers Education, Penang",Malaysia,MY,http://www.i4p.edu.my/
Iact College,Malaysia,MY,http://www.iact.edu.my/
International Islamic College,Malaysia,MY,http://www.iic.edu.my/
International Islamic University,Malaysia,MY,http://www.iiu.edu.my/
International Medical University,Malaysia,MY,http://www.imu.edu.my/
Darul Takzim Institute of Technology,Malaysia,MY,http://www.instedt.edu.my/
Baitulmal Management Institute (IPB),Malaysia,MY,http://www.ipb.edu.my/
"Institute of Teachers Education, Batu Lintang",Malaysia,MY,http://www.ipbl.edu.my/
"Institute of Teachers Education, Malay Language",Malaysia,MY,http://www.ipbmm.edu.my/
"Institute of Teachers Education, Darul Aman",Malaysia,MY,http://www.ipda.edu.my/
"Institute of Teachers Education, Kota Bharu",Malaysia,MY,http://www.ipgkkb.edu.my/
"Institute of Teachers Education, Rajang",Malaysia,MY,http://www.ipgkrajang.edu.my/
"Institute of Teachers Education, Temenggong Ibrahim",Malaysia,MY,http://www.ipgkti.edu.my/
"Institute of Teachers Education, Dato' Razali Ismail",Malaysia,MY,http://www.ipgmkdri.edu.my/
"Institute of Teachers Education, Sultan Mizan",Malaysia,MY,http://www.ipgmksm.edu.my/
"Institute of Teachers Education, Tawau",Malaysia,MY,http://www.ipgmtawau.edu.my/
"Institute of Teachers Education, Perlis",Malaysia,MY,http://www.ipgperlis.edu.my/
"Institute of Teachers Education, Ilmu Khas",Malaysia,MY,http://www.ipik.edu.my/
"Institute of Teachers Education, Ipoh",Malaysia,MY,http://www.ipip.edu.my/
"Institute of Teachers Education, Islamic Education",Malaysia,MY,http://www.ipislam.edu.my/
"Institute of Teachers Education, Kent",Malaysia,MY,http://www.ipkent.edu.my/
"Institute of Teachers Education, Keningau",Malaysia,MY,http://www.ipks.edu.my/
"Institute of Teachers Education, Melaka",Malaysia,MY,http://www.ippm.edu.my/
"Institute of Teachers Education, Raja Melewar",Malaysia,MY,http://www.iprm.edu.my/
"Institute of Teachers Education, Sultan Abdul Halim",Malaysia,MY,http://www.ipsah.edu.my/
"Institute of Teachers Education, Sarawak",Malaysia,MY,http://www.ipsmiri.edu.my/
"Institute of Teachers Education, Tengku Ampuan Afzan",Malaysia,MY,http://www.iptaa.edu.my/
"Institute of Teachers Education, Tuanku Bainun",Malaysia,MY,http://www.iptb.edu.my/
"Institute of Teachers Education, Technical Education",Malaysia,MY,http://www.ipteknik.edu.my/
"Institute of Teachers Education, Tun Hussein Onn",Malaysia,MY,http://www.iptho.edu.my/
Perlis Islamic Higher Learning Institute,Malaysia,MY,http://www.iptips.edu.my/
International University College of Nursing (IUCN),Malaysia,MY,http://www.iucn.edu.my/
International University College of Technology Twintech (IUCTT),Malaysia,MY,http://www.iuctt.edu.my/
KBU International College,Malaysia,MY,http://www.kbu.edu.my/
KDU College Sdn Bhd,Malaysia,MY,http://www.kdu.edu.my/
Sultan Ismail Petra International Islamic College,Malaysia,MY,http://www.kias.edu.my/
Darul Ulum Islamic College,Malaysia,MY,http://kidu-darululum.blogspot.com/
Perak Islamic College,Malaysia,MY,http://www.kiperak.edu.my/
Sultan Ahmad Shah Islamic College,Malaysia,MY,http://www.kipsas.edu.my/
Islamic College for Sciences and Technologies,Malaysia,MY,http://www.kist.edu.my/
International Islamic College of Penang,Malaysia,MY,http://www.kitab.edu.my/
Kuala Lumpur Infrastructure University College,Malaysia,MY,http://www.kliuc.edu.my/
Kuala Lumpur Metropolitan University,Malaysia,MY,http://www.klmu.edu.my/
Shahputra College,Malaysia,MY,http://www.kolejshahputra.edu.my/
YPC-iTWEB College,Malaysia,MY,http://www.kolejypc.edu.my/
Mara Poly-Tech College,Malaysia,MY,http://www.kptm.edu.my/
Darul Naim College of Technology,Malaysia,MY,http://www.ktd.edu.my/
Darul Quran Islamic College University,Malaysia,MY,http://kudqi.net.my/
Melaka Islamic University College,Malaysia,MY,http://www.kuim.edu.my/
Kolej Universiti Insaniah,Malaysia,MY,http://www.kuin.edu.my/
Selangor Islamic University College,Malaysia,MY,http://www.kuis.edu.my/
Limkokwing University College of Creative Technology,Malaysia,MY,http://www.limkokwing.edu.my/
Linton University College,Malaysia,MY,http://www.linton.edu.my/
Mahsa University College for Health and Medical Science,Malaysia,MY,http://www.mahsa.edu.my/
Al Madinah International University,Malaysia,MY,http://www.mediu.edu.my/
Universiti Kuala Lumpur Malaysian Institute of Information Technology (MIIT),Malaysia,MY,http://miit.unikl.edu.my/
Multimedia University,Malaysia,MY,http://www.mmu.edu.my/
"Monash University, Malaysia Campus",Malaysia,MY,http://www.monash.edu.my/
Management and Science University,Malaysia,MY,http://www.msu.edu.my/
Murni Nursing College,Malaysia,MY,http://www.murni.edu.my/
Malaysia University of Science and Technology (MUST),Malaysia,MY,http://www.must.edu.my/
Nilai University College,Malaysia,MY,http://www.nilai.edu.my/
"University of Nottingham, Malaysia Campus",Malaysia,MY,http://www.nottingham.edu.my/
"Newcastle University, Medicine Malaysia",Malaysia,MY,http://numed.ncl.ac.uk/
Olympia College,Malaysia,MY,http://www.olympia.edu.my/
Open University Malaysia,Malaysia,MY,http://www.oum.edu.my/
Perdana University,Malaysia,MY,http://www.perdanauniversity.edu.my/
Penang International Dental College,Malaysia,MY,http://www.pidc.edu.my/
Institut Prima Bestari - Pine Academy,Malaysia,MY,http://www.pine.edu.my/
Primier International University Perak,Malaysia,MY,http://www.piup.edu.my/
Kota Bharu Polytechnic,Malaysia,MY,http://www.pkb.edu.my/
Kota Kinabalu Polytechnic,Malaysia,MY,http://www.pkksabah.edu.my/
Kuala Terengganu City Polytechnic,Malaysia,MY,http://www.pkkt.edu.my/
Merlimau Polytechnic,Malaysia,MY,http://www.pmm.edu.my/
Johore Bharu Primeir Polytechnic,Malaysia,MY,http://www.polijb.edu.my/
Kuching Polytechnic,Malaysia,MY,http://www.poliku.edu.my/
Sultan Abdul Halim Muadzam Shah Polytechnic,Malaysia,MY,http://www.polimas.edu.my/
Melaka City Polytechnic,Malaysia,MY,http://www.polimelaka.edu.my/
Muadzam Shah Polytechnic,Malaysia,MY,http://www.polimuadzam.edu.my/
Port Dickson Polytechnic,Malaysia,MY,http://www.polipd.edu.my/
Sultan Haji Ahmad Shah Polytechnic,Malaysia,MY,http://www.polisas.edu.my/
Sultan Salahuddin Abdul Aziz Shah Polytechnic,Malaysia,MY,http://www.psa.edu.my/
Sultan Azlan Shah Polytechnic,Malaysia,MY,http://www.psas.edu.my/
Sultan Idris Shah Polytechnic,Malaysia,MY,http://www.psis.edu.my/
Sultan Mizan Zainal Abidin Polytechnic,Malaysia,MY,http://www.psmza.edu.my/
Seberang Perai Polytechnic,Malaysia,MY,http://www.psp.edu.my/
PTPL College,Malaysia,MY,http://www.ptpl.edu.my/
Sultanah Bahiyah Polytechnic,Malaysia,MY,http://www.ptsb.edu.my/
Tunku Syed Sirajuddin Polytechnic,Malaysia,MY,http://www.ptss.edu.my/
Ungku Omar Premier Polytechnic,Malaysia,MY,http://www.puo.edu.my/
Raffles University,Malaysia,MY,http://www.raffles-university.edu.my/
Saito College,Malaysia,MY,http://www.saito.edu.my/
Segi University College,Malaysia,MY,http://www.segi.edu.my/
Sunway University College,Malaysia,MY,http://www.sunway.edu.my/
"Swinburne University of Technology, Sarawak Campus",Malaysia,MY,http://www.swinburne.edu.my/
Taj International College,Malaysia,MY,http://www.taj.edu.my/
Tunku Abdul Rahman Chinese College,Malaysia,MY,http://www.tarc.edu.my/
Taylor's University College,Malaysia,MY,http://www.taylors.edu.my/
TPM College,Malaysia,MY,http://www.tpmcollege.edu.my/
UCSI University,Malaysia,MY,http://www.ucsi.edu.my/
University College of Technology & Innovation (UCTI),Malaysia,MY,http://www.ucti.edu.my/
Universiti Darul Iman,Malaysia,MY,http://www.udm.edu.my/
Universiti Teknologi Mara,Malaysia,MY,http://www.uitm.edu.my/
Universiti Kebangsaan Malaysia,Malaysia,MY,http://www.ukm.my/
Universiti Malaya,Malaysia,MY,http://www.um.edu.my/
Universiti Malaysia Kelantan,Malaysia,MY,http://www.umk.edu.my/
University Malaysia Pahang,Malaysia,MY,http://www.ump.edu.my/
Universiti Malaysia Sabah,Malaysia,MY,http://www.ums.edu.my/
University of Management and Technology,Malaysia,MY,http://www.umtech.edu.my/
Universiti Malaysia Terengganu,Malaysia,MY,http://www.umt.edu.my/
Universiti Kuala Lumpur,Malaysia,MY,http://www.unikl.edu.my/
Universiti Malaysia Perlis,Malaysia,MY,http://www.unimap.edu.my/
Universiti Malaysia Sarawak,Malaysia,MY,http://www.unimas.my/
University Tun Abdul Razak,Malaysia,MY,http://www.unirazak.edu.my/
Universiti Industri Selangor,Malaysia,MY,http://www.unisel.edu.my/
Universiti Sultan Zainal Abidin,Malaysia,MY,http://www.unisza.edu.my/
Universiti Tun Abdul Razak,Malaysia,MY,http://www.unitar.edu.my/
Universiti Tenaga Nasional,Malaysia,MY,http://www.uniten.edu.my/
Universiti Putra Malaysia,Malaysia,MY,http://www.upm.edu.my/
Universiti Pendidikan Sultan Idris,Malaysia,MY,http://www.upsi.edu.my/
Universiti Sains Malaysia,Malaysia,MY,http://www.usm.my/
Universiti Tunku Abdul Rahman,Malaysia,MY,http://www.utar.edu.my/
Universiti Teknikal Malaysia Melaka,Malaysia,MY,http://www.utem.edu.my/
Universiti Tun Hussein Onn Malaysia,Malaysia,MY,http://www.uthm.edu.my/
Universiti Teknologi Malaysia,Malaysia,MY,http://www.utm.my/
Petronas Technology University,Malaysia,MY,http://www.utp.edu.my/
Universiti Utara Malaysia,Malaysia,MY,http://www.uum.edu.my/
West Minster International College,Malaysia,MY,http://www.westminster.edu.my/
Wawasan Open University,Malaysia,MY,http://www.wou.edu.my/
