name,country,alpha_two_code,web_pages
Universidad Anáhuac,Mexico,MX,http://www.anahuac.mx/
"Universidad de La Salle, Bajío",Mexico,MX,http://bajio.delasalle.edu.mx/
Benemerita Universidad Autónoma de Puebla,Mexico,MX,http://www.buap.mx/
"Universidad de Guanajuato, Campus León",Mexico,MX,http://www.campusleon.ugto.mx/
Centro de Enseñanza Técnica Industrial,Mexico,MX,http://www.ceti.mx/
CETYS Universidad,Mexico,MX,http://www.cetys.mx/
Centro de Estudios Universitarios Monterrey,Mexico,MX,http://www.ceu.edu.mx/
Centro Universitario Ixtlahuaca,Mexico,MX,http://www.ceunix.com.mx/
Centro de Estudios Universitarios Xochicalco,Mexico,MX,http://www.ceux.mx/
Universidad Champagnat,Mexico,MX,http://www.champagnat.edu.mx/
Universidad Autónoma de Chapingo,Mexico,MX,http://www.chapingo.mx/
El Colegio de México,Mexico,MX,http://www.colmex.mx/
Universidad Cuauhtémoc,Mexico,MX,http://www.cuauhtemoc.edu.mx/
Universidad Autónoma Metropolitana - Xochimilco,Mexico,MX,http://cueyatl.uam.mx/
Dirección General de Institutos Tecnológicos,Mexico,MX,http://www.dgit.gob.mx/
Escuela Bancaria y Comercial,Mexico,MX,http://www.ebc.mx/
Escuela Nacional de Estudios Superiores Unidad León,Mexico,MX,http://www.enes.unam.mx/
Universidad Fray Luca Paccioli,Mexico,MX,http://www.frayluca.edu.mx/
Universidad Hispanoamericana,Mexico,MX,http://hispano.edu.mx/
Universidad Itaca,Mexico,MX,http://www.i.edu.mx/
Instituto Politécnico Nacional,Mexico,MX,http://www.ipn.edu.mx/
Instituto Tecnológico Autonómo de México,Mexico,MX,http://www.itam.mx/
Instituto Tecnológico de Aguascalientes,Mexico,MX,http://www.ita.mx/
Instituto Tecnológico de Celaya,Mexico,MX,http://www.itc.mx/
Instituto Tecnologico de Durango,Mexico,MX,http://www.itdurango.edu.mx/
Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),Mexico,MX,http://www.itesm.mx/
Instituto Tecnológico y de Estudios Superiores de Occidente,Mexico,MX,http://www.iteso.mx/
Instituto Tecnológico de León,Mexico,MX,http://www.itleon.edu.mx/
Instituto Tecnologico de Minatitlan,Mexico,MX,http://www.itmina.edu.mx/
Instituto Tecnológico de Morelia,Mexico,MX,http://www.itmorelia.edu.mx/
Instituto Tecnológico de Querétaro,Mexico,MX,http://www.itq.edu.mx/
Instituto Tecnológico de San Luis Potosí,Mexico,MX,http://www.itslp.edu.mx/
Instituto Tecnológico de Sonora,Mexico,MX,http://www.itson.mx/
Universidad Autónoma Metropolitana - Iztapalapa,Mexico,MX,http://www.iztapalapa.uam.mx/
"Universidad Pedagógica Nacional, Unidad León",Mexico,MX,http://www.lef.upn.mx/
