name,country,alpha_two_code,web_pages
Instituto Superior de Informática e Gestão,Portugal,PT,http://www.cocite.pt/
Escola Nautica Infante D. Henrique,Portugal,PT,http://www.enautica.pt/
Escola Superior de Artes e Design,Portugal,PT,http://www.esad.pt/
Escola Superior de Hotelaria e Turismo do Estoril,Portugal,PT,http://www.eshte.pt/
European University Portugal,Portugal,PT,http://www.europeanuniversity.pt/
"Instituto de Artes Visuais, Design e Marketing - IADE",Portugal,PT,http://www.iade.pt/
Instituto Superior Novas Profissões - INP,Portugal,PT,http://www.inp.pt/
Instituto Superior D. Afonso III - INUAF,Portugal,PT,http://www.inuaf-studia.pt/
Instituto Politécnico de Beja,Portugal,PT,http://www.ipbeja.pt/
Instituto Politécnico de Bragança,Portugal,PT,http://www.ipb.pt/
Instituto Politécnico do Cávado e do Ave,Portugal,PT,http://www.ipca.pt/
Instituto Politécnico de Castelo Branco,Portugal,PT,http://www.ipcb.pt/
Instituto Politécnico de Coimbra,Portugal,PT,http://www.ipc.pt/
Instituto Politécnico da Guarda,Portugal,PT,http://www.ipg.pt/
Instituto Piaget,Portugal,PT,http://www.ipiaget.org/
Instituto Politécnico de Leiria,Portugal,PT,https://www.ipleiria.pt/
Instituto Politécnico de Lisboa,Portugal,PT,http://www.ipl.pt/
Instituto Politécnico de Portalegre,Portugal,PT,http://www.ipportalegre.pt/
Instituto Politecnico do Porto,Portugal,PT,http://www.ipp.pt/
Instituto Politécnico de Santarém,Portugal,PT,http://www.ipsantarem.pt/
Instituto Politécnico de Setúbal,Portugal,PT,http://www.ips.pt/
Instituto Politécnico de Tomar,Portugal,PT,http://www.ipt.pt/
Instituto Politécnico de Viana do Castelo,Portugal,PT,http://www.ipvc.pt/
Instituto Superior de Assistentes e Intérpretes,Portugal,PT,http://www.isai.pt/
Instituto Superior de Saúde do Alto Ave,Portugal,PT,http://www.isave.edu.pt/
Instituto Superior Bissaya Barreto,Portugal,PT,http://www.isbb.pt/
Instituto Superior de Ciências Empresariais e de Turismo,Portugal,PT,http://www.iscet.pt/
ISCTE - Instituto Universitário de Lisboa,Portugal,PT,http://www.iscte-iul.pt/
Instituto Superior de Gestão - ISG,Portugal,PT,http://www.isg.pt/
Instituto Superior de Línguas e Administração,Portugal,PT,http://www.isla.pt/
Instituto Superior de Paços de Brandão,Portugal,PT,http://www.ispab.pt/
Instituto Superior de Psicologia Aplicada,Portugal,PT,http://www.ispa.pt/
Instituto Superior Politécnico Gaya,Portugal,PT,http://www.ispgaya.pt/
Instituto Superior de Tecnologias Avançadas - ISTEC,Portugal,PT,http://www.istec.pt/
Instituto Superior de Transportes e Comunicações,Portugal,PT,http://www.istp.pt/
Instituto Superior de Entre Douro e Vouga,Portugal,PT,http://www.isvouga.com/
Academia Nacional Superior de Orquesta,Portugal,PT,http://www.oml.pt/anso/
Instituto Superior de Ciências Educativas,Portugal,PT,http://www.pedago.pt/isce.htm
Universidade dos Acores,Portugal,PT,http://www.uac.pt/
Universidade do Algarve,Portugal,PT,http://www.ualg.pt/
Universidade de Aveiro,Portugal,PT,http://www.ua.pt/
Universidade Atlântica,Portugal,PT,http://www.uatla.pt/
Universidade da Beira Interior,Portugal,PT,http://www.ubi.pt/
Universidade Catolica Portuguesa,Portugal,PT,http://www.ucp.pt/
Universidade de Coimbra,Portugal,PT,http://www.uc.pt/
Universidade de Evora,Portugal,PT,http://www.uevora.pt/
Universidade Fernando Pessoa,Portugal,PT,http://www.ufp.pt/
Universidade Internacional Lisboa,Portugal,PT,http://www.uinternacional.pt/
Universidade de Lisboa,Portugal,PT,http://www.ul.pt/
Universidade Lusiada,Portugal,PT,http://www.ulusiada.pt/
Universidade Lusófona de Humanidades e Technologias,Portugal,PT,http://www.ulusofona.pt/
Universidade da Madeira,Portugal,PT,http://www.uma.pt/
Universidade do Minho,Portugal,PT,http://www.uminho.pt/
Universidade Moderna de Lisboa,Portugal,PT,http://www.umoderna.pt/
Universidade Independente,Portugal,PT,http://www.uni.pt/
Universidade Aberta Lisboa,Portugal,PT,http://www.univ-ab.pt/
Universidade Autónoma de Lisboa Luís de Camoes,Portugal,PT,http://www.universidade-autonoma.pt/
Universidade Nova de Lisboa,Portugal,PT,http://www.unl.pt/
Universidade Portucalense Infante D. Henrique,Portugal,PT,http://www.uportu.pt/
Universidade do Porto,Portugal,PT,http://www.up.pt/
Universidade de Tras-os-Montes e Alto Douro,Portugal,PT,http://www.utad.pt/
Universidade Tecnica de Lisboa,Portugal,PT,http://www.utl.pt/
Nova School of Business and Economics,Portugal,PT,https://www.novasbe.unl.pt/en/
Católica Lisbon School of Business & Economics,Portugal,PT,https://www.clsbe.lisboa.ucp.pt/
NOVA School of Science and Technology,Portugal,PT,https://fct.unl.pt
Escola Superior de Media Artes e Design,Portugal,PT,https://www.esmad.ipp.pt/
