name,country,alpha_two_code,web_pages
Aventis School of Management,Singapore,SG,https://www.aventis.edu.sg/
Nanyang Technological University,Singapore,SG,https://www.ntu.edu.sg/
National University of Singapore,Singapore,SG,https://www.nus.edu/
yale-NUS,Singapore,SG,https://www.yale-nus.edu.sg/
Singapore Institute of Management (SIM),Singapore,SG,https://www.sim.edu.sg/
Singapore Management University,Singapore,SG,https://www.smu.edu.sg/
Singapore Institute of Technology,Singapore,SG,https://www.singaporetech.edu.sg/
Singapore University of Technology and Design,Singapore,SG,https://www.sutd.edu.sg/
Singapore University of Social Sciences,Singapore,SG,https://www.suss.edu.sg/
University of the Arts Singapore,Singapore,SG,https://www.uas.edu.sg/
Taoist College Singapore,Singapore,SG,https://www.taoistcollege.org.sg/
Institute of Technical Education,Singapore,SG,https://www.ite.edu.sg/
Temasek Polytechnic,Singapore,SG,https://www.tp.edu.sg/
Singapore Polytechnic,Singapore,SG,https://www.sp.edu.sg/
Ngee Ann Polytechnic,Singapore,SG,https://www.np.edu.sg/
Nanyang Polytechnic,Singapore,SG,https://www.nyp.edu.sg/
Republic Polytechnic,Singapore,SG,https://www.rp.edu.sg/
Australian International School,Singapore,SG,https://ais.com.sg
