name,country,alpha_two_code,web_pages
Barcelona Graduate School of Economics,Spain,ES,http://www.barcelonagse.eu/
Bircham International University,Spain,ES,http://www.bircham.edu/
Universidad de San Pablo CEU,Spain,ES,http://www.ceu.es/
Universidad de Deusto,Spain,ES,http://www.deusto.es/
Universidad del País Vasco,Spain,ES,http://www.ehu.es/
Escuela Superior de Gestion Comercial y Marketing (ESIC),Spain,ES,http://www.esic.es/
Global Business School Barcelona,Spain,ES,http://www.global-business-school.org/
IE University,Spain,ES,http://www.ie.edu/
International University of Southern Europe,Spain,ES,http://www.iuse.edu.es/
La Salle Universities - International Programmes,Spain,ES,http://www.lasalleuniversities.net/
Mondragon Univertsitatea,Spain,ES,http://www.muni.es/
La Salle - Universitat Rámon Llull,Spain,ES,http://www.salleurl.edu/
"Schiller International University, Madrid",Spain,ES,http://www.schillermadrid.edu/
Universitat Autónoma de Barcelona,Spain,ES,http://www.uab.es/
Universidad de Alicante,Spain,ES,http://www.ua.es/
Universidad de Alcalá de Henares,Spain,ES,http://www.uah.es/
Universidad de Almería,Spain,ES,http://www.ualm.es/
Universidad Autónoma de Madrid,Spain,ES,http://www.uam.es/
Universidad Alfonso X El Sabio,Spain,ES,http://www.uax.es/
Universitat de Barcelona,Spain,ES,http://www.ub.es/
Universidad de Burgos,Spain,ES,http://www.ubu.es/
Universidad Carlos III de Madrid,Spain,ES,http://www.uc3m.es/
Universidad de Cádiz,Spain,ES,http://www.uca.es/
Universidad Católica San Antonio,Spain,ES,http://www.ucam.edu/
Universidad Católica de Ávila,Spain,ES,http://www.ucavila.es/
Universidad Cardenal Herrera-CEU,Spain,ES,http://www.uchceu.es/
Universidad de Castilla La Mancha,Spain,ES,http://www.uclm.es/
Universidad Complutense de Madrid,Spain,ES,http://www.ucm.es/
Universidad de Córdoba,Spain,ES,http://www.uco.es/
Universidad Católica de Valencia,Spain,ES,http://www.ucv.es/
Universidad de La Coruña,Spain,ES,http://www.udc.es/
Universidad de Gerona,Spain,ES,http://www.udg.es/
Universitat de Lleida,Spain,ES,http://www.udl.es/
Universidad Europea de Madrid,Spain,ES,http://www.uem.es/
Universidad Francisco de Vitoria,Spain,ES,http://www.ufv.es/
Universidad de Granada,Spain,ES,http://www.ugr.es/
Universidad de Huelva,Spain,ES,http://www.uhu.es/
Universidad Internacional de Andalucía,Spain,ES,http://www.uia.es/
Universitat de les Illes Balears,Spain,ES,http://www.uib.es/
Universitat Internacional de Catalunya,Spain,ES,http://www.uic.es/
