name,country,alpha_two_code,web_pages
Blekinge Institute of Technology,Sweden,SE,http://www.bth.se/
Chalmers University of Technology,Sweden,SE,http://www.chalmers.se/
Dalarna University College,Sweden,SE,http://www.du.se/
Göteborg University,Sweden,SE,http://www.gu.se/
University College of Borås,Sweden,SE,http://www.hb.se/
School of Design and Crafts,Sweden,SE,http://www.hdk.gu.se/
Gotland University College,Sweden,SE,http://www.hgo.se/
Halmstad University College,Sweden,SE,http://www.hh.se/
Stockholm School of Economics,Sweden,SE,http://www.hhs.se/
University College of Gävle,Sweden,SE,http://www.hig.se/
Kalmar University College,Sweden,SE,http://www.hik.se/
University College of Skövde,Sweden,SE,http://www.his.se/
Jönköping University College,Sweden,SE,http://www.hj.se/
University College of Kristianstad,Sweden,SE,http://www.hkr.se/
University College of Trollhättan/Uddevalla,Sweden,SE,http://www.htu.se/
Karlstad University,Sweden,SE,http://www.kau.se/
Karolinska Institute Stockholm,Sweden,SE,http://www.ki.se/
"University College of Arts, Crafts and Design",Sweden,SE,http://www.konstfack.se/
KTH Royal Institute of Technology,Sweden,SE,http://www.kth.se/
Stockholm Institute of Education,Sweden,SE,http://www.lhs.se/
Linköping University,Sweden,SE,http://www.liu.se/
Lund University,Sweden,SE,http://www.lu.se/
Lulea University of Technology,Sweden,SE,http://www.luth.se/
Malmö University College,Sweden,SE,http://www.mah.se/
Mälardalen University,Sweden,SE,http://www.mdh.se/
Mid-Sweden University,Sweden,SE,http://www.miun.se/
Nordic School of Public Health,Sweden,SE,http://www.nhv.se/
Örebro University,Sweden,SE,http://www.oru.se/
Södertörn University College,Sweden,SE,http://www.sh.se/
Swedish University of Agricultural Sciences,Sweden,SE,http://www.slu.se/
Free University Stockholm,Sweden,SE,http://www.stockholm-fu.com/
Stockholm University,Sweden,SE,http://www.su.se/
Umea University,Sweden,SE,http://www.umu.se/
Uppsala University,Sweden,SE,http://www.uu.se/
Växjö University,Sweden,SE,http://www.vxu.se/
World Maritime University,Sweden,SE,http://www.wmu.se/
