name,country,alpha_two_code,web_pages
West Herts College,United Kingdom,GB,https://westherts.ac.uk
Royal Holloway University of London,United Kingdom,GB,https://rhul.ac.uk
University of Portsmouth,United Kingdom,GB,https://myport.port.ac.uk
Futureworks,United Kingdom,GB,https://futureworks.ac.uk/
University of the Arts London,United Kingdom,GB,https://www.arts.ac.uk
University of Aberdeen,United Kingdom,GB,http://www.abdn.ac.uk/
Aberystwyth University,United Kingdom,GB,https://aber.ac.uk/
University of Abertay Dundee,United Kingdom,GB,http://www.abertay.ac.uk/
American InterContinental University - London,United Kingdom,GB,http://www.aiuniv.edu/
Anglia Ruskin University,United Kingdom,GB,http://www.anglia.ac.uk/
Aston University,United Kingdom,GB,http://www.aston.ac.uk/
The American University in London,United Kingdom,GB,http://www.aul.edu/
"University of Wales, Bangor",United Kingdom,GB,http://www.bangor.ac.uk/
University of Bath,United Kingdom,GB,http://www.bath.ac.uk/
Bath Spa University,United Kingdom,GB,https://www.bathspa.ac.uk/
"Birkbeck College, University of London",United Kingdom,GB,http://www.bbk.ac.uk/
British College of Osteopathic Medicine,United Kingdom,GB,http://www.bcom.ac.uk/
Birmingham City University,United Kingdom,GB,http://www.bcu.ac.uk/
University of Bedfordshire,United Kingdom,GB,http://www.beds.ac.uk/
University of Birmingham,United Kingdom,GB,http://www.bham.ac.uk/
University of Bolton,United Kingdom,GB,http://www.bolton.ac.uk/
Bournemouth University,United Kingdom,GB,http://www.bournemouth.ac.uk/
University of Bradford,United Kingdom,GB,http://www.brad.ac.uk/
London School of Jewish Studies,United Kingdom,GB,http://www.brijnet.org/lsjs/
University of Bristol,United Kingdom,GB,https://www.bristol.ac.uk/
Oxford Brookes University,United Kingdom,GB,http://www.brookes.ac.uk/
Brunel University Uxbridge,United Kingdom,GB,http://www.brunel.ac.uk/
University of Brighton,United Kingdom,GB,http://www.bton.ac.uk/
University of Buckingham,United Kingdom,GB,http://www.buck.ac.uk/
Buckinghamshire New University,United Kingdom,GB,http://www.bucks.ac.uk/
University of Cambridge,United Kingdom,GB,http://www.cam.ac.uk/
Camberwell College of Arts,United Kingdom,GB,http://www.camb.linst.ac.uk/
Canterbury Christ Church University,United Kingdom,GB,http://www.canterbury.ac.uk/
Cardiff University,United Kingdom,GB,http://www.cardiff.ac.uk/
Chelsea College of Art and Design,United Kingdom,GB,http://www.chelsea.linst.ac.uk/
University of Chester,United Kingdom,GB,http://www.chester.ac.uk/
City University,United Kingdom,GB,http://www.city.ac.uk/
"Courtauld Institute of Art, University of London",United Kingdom,GB,http://www.courtauld.ac.uk/
Coventry University,United Kingdom,GB,http://www.coventry.ac.uk/
Cranfield University,United Kingdom,GB,http://www.cranfield.ac.uk/
Central Saint Martins College of Art & Design,United Kingdom,GB,http://www.csm.linst.ac.uk/
University of Derby,United Kingdom,GB,http://www.derby.ac.uk/
De Montfort University Leicester,United Kingdom,GB,http://www.dmu.ac.uk/
University of Dundee,United Kingdom,GB,http://www.dundee.ac.uk/
University of Durham,United Kingdom,GB,http://www.dur.ac.uk/
