name,country,alpha_two_code,web_pages
West Herts College,United Kingdom,GB,https://westherts.ac.uk
National Institute of Applied Sciences of Toulouse,France,FR,https://insa-toulouse.fr
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,AE,https://mbzuai.ac.ae/
"Centro Universitário de Brasília, UNICEUB",Brazil,BR,https://www.uniceub.br
Kharkiv National University,Ukraine,UA,https://karazin.ua
Universidad Técnica Federico Santa María,Chile,CL,https://usm.cl
IÉSEG School of Management,France,FR,https://ieseg.fr
Sun Yat-Sen University,China,CN,https://sysu.edu.cn
Royal Holloway University of London,United Kingdom,GB,https://rhul.ac.uk
Hunan University,China,CN,https://www.hnu.edu.cn
University of Portsmouth,United Kingdom,GB,https://myport.port.ac.uk
Académie de Paris,France,FR,https://www.ac-paris.fr/
Académie d'Aix-Marseille,France,FR,https://www.ac-aix-marseille.fr/
Académie de Créteil,France,FR,https://www.ac-creteil.fr/
Marywood University,United States,US,http://www.marywood.edu
University of Petroleum and Energy Studies,India,IN,https://www.upes.ac.in/
Ashoka University,India,IN,https://www.ashoka.edu.in
Cégep de Saint-Jérôme,Canada,CA,https://www.cstj.qc.ca
Lindenwood University,United States,US,http://www.lindenwood.edu/
DAV Institute of Engineering & Technology,India,IN,http://www.davietjal.org/
Lovely Professional University,India,IN,http://www.lpu.in/
Sullivan University,United States,US,https://sullivan.edu/
Florida State College at Jacksonville,United States,US,https://www.fscj.edu/
Xavier University,United States,US,https://www.xavier.edu/
Tusculum College,United States,US,https://home.tusculum.edu/
Claremont School of Theology,United States,US,https://cst.edu/
Somaiya Vidyavihar,India,IN,https://somaiya.edu/
Columbia College (SC),United States,US,https://www.columbiasc.edu/
Chabot-Las Positas Community College District,United States,US,http://www.clpccd.edu/
Keller Graduate School of Management,United States,US,https://www.keller.edu/
Monroe College,United States,US,https://monroecollege.edu/
San Mateo County Community College District,United States,US,https://smccd.edu/
Los Rios Community College District,United States,US,http://losrios.edu/
DigiPen Institute of Technology,United States,US,https://www.digipen.edu/
University of Pittsburgh Medical Center,United States,US,https://www.upmc.com/
Claremont Graduate University,United States,US,https://www.cgu.edu/
The University of Texas at Rio Grande Valley,United States,US,https://www.utrgv.edu/
College of Mount Saint Vincent,United States,US,https://mountsaintvincent.edu/
